player,pos_cluster_calc,ws_per_48_calc,bpm_calc,ts_pct_calc,fg_pct_calc,fg3_pct_calc,pts_per_36_calc,stl_pct_calc,trb_pct_calc,blk_pct_calc,mps_calc,ast_pct_calc,allstar_pct_calc,sum_mp,start_age,end_age,avg_age,player_height,player_weight,team_id,draft_year,draft_number,draft_round,stand_jump,max_jump,court_sprint,lane_agility,bench_press,usg_pct_calc,orb_pct_calc,drb_pct_calc,net_rating_calc,career_years,all_star_total,score_guard,score_wing,score_big,score_nach_cluster,success_score,d_group,avg_score_d_group,score_d_group_diff,avg_score_d_number,score_d_number_diff
Chandler Parsons,Wing,0.10479246565000756,1.0771025215159293,0.555817605314812,0.46144647440736825,0.37114208062811416,15.147667220292918,0.015839423222104788,0.08354197493582968,0.009281292465650008,1471.7777777777778,0.145708666767326,0.0,13246.0,23.0,31.0,27.0,206.8688888888889,103.72137066666667,HOU,2011,38,2,25.5,31.5,3.29,11.05,4.0,0.19010999547033067,0.030580552619658766,0.1354374150687,2.3515325381247165,9,0,41.76,40.77,39.36,40.77,41.76,4,35.330078125,6.429921874999998,35.29576923076923,6.464230769230767
Channing Frye,Big,0.09443986445478454,-0.40208375480477443,0.5480536617438803,0.4392784240339875,0.35511035808213637,14.180598826623507,0.01191300829455796,0.1165070807202104,0.021075662553105404,1520.923076923077,0.06823057859599434,0.0,19772.0,22.0,35.0,28.46153846153846,211.0153846153846,113.18864984615385,PHO,2005,8,1,27.5,31.0,3.38,11.6,19.0,0.1804000101153146,0.04545321667003844,0.1863987457009913,0.8507030143637466,13,0,39.56,41.92,42.86,42.86,42.86,1,47.20743935309973,-4.34743935309973,42.52105263157895,0.3389473684210529
Charles Barkley,Big,0.21625113145181793,6.122484108822781,0.6115220188151538,0.5413769132977371,0.2464691584032545,21.752768878718538,0.02086086956521739,0.1819667937960844,0.013966259852529875,2458.125,0.174959649122807,0.6875,39330.0,21.0,36.0,28.5,198.12,114.305184,PHI,1984,5,1,,,,,,0.24760737350622936,0.12523714721586576,0.2370561912026443,0.6645029239766083,16,11,71.14,73.29,73.41,73.41,73.41,1,47.20743935309973,26.202560646900267,48.487297297297296,24.9227027027027
Charles Bassey,Big,0.22,1.6999999999999997,0.66,0.638,0.0,14.785714285714286,0.015,0.20600000000000002,0.091,84.0,0.065,0.0,168.0,21.0,22.0,21.5,205.74,104.32616,PHI,2021,53,2,33.0,36.0,3.13,12.19,,0.161,0.149,0.261,-8.8,2,0,37.66,45.17,51.09,51.09,51.09,6,33.73416,17.35584,33.76357142857143,17.326428571428572
Charles Jenkins,Guard,0.01709070464767616,-4.431409295352323,0.4631566716641679,0.4331154422788606,0.2657046476761619,11.007796101949026,0.018669415292353823,0.042008245877061465,0.004669415292353823,667.0,0.24908170914542732,0.0,1334.0,22.0,23.0,22.5,190.5,98.65626,GSW,2011,44,2,29.5,34.0,3.18,11.68,16.0,0.17842953523238383,0.013305847076461768,0.07071064467766117,-7.963568215892054,2,0,31.51,27.35,24.0,31.51,31.51,5,35.637464788732395,-4.127464788732393,34.30882352941177,-2.7988235294117665
Charles Jones,Big,0.08393316778999646,-0.8956083717630365,0.5105712664065272,0.4780360411493437,0.0,4.6739978715856685,0.01524207165661582,0.12622852075203972,0.04706136927988649,939.6666666666666,0.05501993614757006,0.0,14095.0,26.0,40.0,33.0,205.74000000000004,97.52228,WSB,Undrafted,61,Undrafted,,,,,,0.06652373181979426,0.08516651294785385,0.16847804185881518,-0.038708761972330606,15,0,30.13,37.25,38.92,38.92,38.92,7,32.88851913477537,6.03148086522463,32.88851913477537,6.03148086522463
Charles O'Bannon,Guard,0.06950375939849623,-2.0586466165413535,0.44243609022556385,0.3985037593984962,0.0,10.718796992481204,0.015210526315789476,0.10136842105263158,0.007962406015037594,199.5,0.12578947368421053,0.0,399.0,22.0,23.0,22.5,195.58,94.800728,DET,1997,31,2,,,,,,0.17875187969924813,0.0966390977443609,0.10609774436090225,7.06015037593985,2,0,28.31,30.1,29.22,28.31,30.1,4,35.330078125,-5.230078124999999,33.6573076923077,-3.5573076923076954
Charles Oakley,Big,0.10669774081429989,-0.4600273088381331,0.5237842601787487,0.4708801390268123,0.1509390268123138,11.10271102284012,0.016947492552135054,0.17347907149950348,0.0064100297914597825,2120.0,0.1189133813306852,0.05263157894736842,40280.0,22.0,40.0,31.0,205.74,111.30013699999999,NYK,1985,9,1,,,,,,0.15772562065541212,0.11207130089374379,0.23513314299900695,0.37649453823237333,19,1,46.4,52.31,52.76,52.76,52.76,1,47.20743935309973,5.552560646900268,45.305263157894736,7.454736842105262
Charles R. Jones,Guard,-0.0009332161687170454,-3.8456942003514936,0.4291054481546573,0.32339894551845344,0.3226344463971881,9.417574692442884,0.022163444639718807,0.052000000000000005,0.006254833040421793,569.0,0.1957205623901582,0.0,1138.0,23.0,24.0,23.5,190.5,81.64656,CHI,Undrafted,61,Undrafted,,,,,,0.15999999999999998,0.025072056239015813,0.08134622144112479,-13.596133567662564,2,0,28.01,27.29,23.43,28.01,28.01,7,32.88851913477537,-4.87851913477537,32.88851913477537,-4.87851913477537
Charles Shackleford,Big,0.07580819245773732,-3.0350888599913306,0.5100383615084525,0.4851302557433897,0.0,12.696749024707414,0.012711096662332033,0.17451452102297357,0.019618118768964025,769.0,0.05751322063285652,0.0,4614.0,22.0,32.0,26.0,210.82000000000002,111.13004,NJN,1988,32,2,,,,,,0.17185002167316862,0.11737624620719549,0.23327893368010402,-0.42951885565669706,6,0,30.63,36.91,39.05,39.05,39.05,4,35.330078125,3.719921874999997,34.35964285714286,4.690357142857138
Charles Smith,Wing,0.11988270851141775,-0.08374038344120154,0.5378686652826964,0.4729962144339968,0.0911823177433142,17.823275125167907,0.013796922701184516,0.11078599340578825,0.031411222371473924,1819.7777777777778,0.07649932836732201,0.0,16378.0,23.0,31.0,27.0,208.28,110.676448,LAC,1988,3,1,,,,,,0.22141690072047868,0.08254518256197338,0.1386251679081695,-0.09843082183416779,9,0,42.19,43.29,44.15,43.29,44.15,1,47.20743935309973,-3.0574393530997312,52.80105263157895,-8.651052631578949
Charles Smith 3,Guard,0.03606639635073493,-1.1168271667511402,0.47128687278256465,0.40782868727825644,0.2777237709072478,13.3636087176888,0.02344855549923974,0.05871667511403953,0.025329954384186518,394.6,0.10912772427774964,0.0,1973.0,22.0,30.0,25.6,193.04,89.0854688,TOT,1997,26,1,,,,,,0.20619665484034463,0.03376279776989356,0.08308971109984795,-4.053066396350735,5,0,30.26,31.5,28.45,30.26,31.5,3,38.37348242811502,-6.873482428115018,38.770714285714284,-7.270714285714284
Charlie Bell,Guard,0.06413172502134927,-1.5780422715627667,0.5132051665243382,0.4098799103330487,0.36128341161400507,12.33138343296328,0.017132578992314264,0.050845964987190434,0.002564474807856533,1338.2857142857142,0.14297416737830915,0.0,9368.0,22.0,31.0,27.571428571428573,190.5,90.7184,MIL,Undrafted,61,Undrafted,31.5,38.0,3.12,10.59,15.0,0.16755273270708795,0.02161325789923143,0.08199274124679762,-3.5173569598633643,7,0,35.93,34.59,31.72,35.93,35.93,7,32.88851913477537,3.041480865224628,32.88851913477537,3.041480865224628
Charlie Brown Jr.,Guard,-0.010460704607046071,-6.157181571815718,0.39096476964769644,0.28145257452574524,0.17394850948509485,8.819512195121952,0.021279132791327912,0.07819241192411923,0.019089430894308944,123.0,0.06327642276422764,0.0,369.0,22.0,24.0,23.0,198.12,90.264808,ATL,Undrafted,61,Undrafted,,,,,,0.14758536585365856,0.057154471544715445,0.09964227642276423,-3.2834688346883465,3,0,20.5,25.04,22.69,20.5,25.04,7,32.88851913477537,-7.848519134775373,32.88851913477537,-7.848519134775373
Charlie Villanueva,Big,0.07977625570776256,-0.612910590661364,0.5200675357195463,0.43595912505523643,0.33755855059655326,18.05408749447636,0.012755192222713213,0.13165186330829282,0.020639343054941816,1234.3636363636363,0.07188717042274267,0.0,13578.0,21.0,31.0,26.0,210.82,105.89311418181819,DET,2005,7,1,26.0,31.0,3.3,10.86,11.0,0.24134165561938428,0.0667970245986154,0.20105759316541463,-5.062122551185742,11,0,38.62,40.59,41.68,41.68,41.68,1,47.20743935309973,-5.52743935309973,44.54944444444445,-2.869444444444447
Charlie Ward,Guard,0.11259559659090909,2.074978693181818,0.532288778409091,0.4096661931818182,0.36231278409090906,10.10275568181818,0.029781036931818182,0.06931207386363636,0.006898863636363636,1280.0,0.29211562500000005,0.0,14080.0,24.0,34.0,29.0,187.96,85.17449777777777,NYK,1994,26,1,,,,,,0.15882365056818182,0.02100482954545455,0.11633039772727273,3.0532883522727277,11,0,43.38,42.24,37.05,43.38,43.38,3,38.37348242811502,5.006517571884984,38.770714285714284,4.609285714285718
Chase Budinger,Wing,0.0833528382095524,-0.5197799449862466,0.5339098524631158,0.4295740185046262,0.3487035508877219,14.389647411852962,0.01351175293823456,0.08804288572143036,0.005997124281070268,1142.5714285714287,0.09393398349587397,0.0,7998.0,21.0,27.0,24.0,200.66,97.13348685714286,HOU,2009,44,2,29.5,38.5,3.24,11.08,10.0,0.1827361840460115,0.03305663915978995,0.14495861465366341,-0.7441610402600649,7,0,36.11,36.59,35.68,36.59,36.59,5,35.637464788732395,0.9525352112676089,34.30882352941177,2.2811764705882354
Chasson Randle,Guard,0.032892131318394996,-4.509953100573215,0.5386732673267326,0.39503126628452323,0.3552714955706097,12.736008337675871,0.014702449192287649,0.047718603439291296,0.004121417404898385,479.75,0.15347055758207398,0.0,1919.0,23.0,27.0,25.25,187.96,83.91452,GSW,Undrafted,61,Undrafted,33.5,39.5,3.2,10.63,6.0,0.16415007816571128,0.012337675872850442,0.08401354872329339,-9.359562272016676,4,0,31.03,28.51,26.22,31.03,31.03,7,32.88851913477537,-1.8585191347753707,32.88851913477537,-1.8585191347753707
Chauncey Billups,Guard,0.17557355792535145,3.224730368395541,0.5785605913717887,0.415068528841493,0.38718234973339793,17.247782355792538,0.016974491032476974,0.05287187954435288,0.0037551805622879305,1941.6470588235295,0.2812734791565681,0.29411764705882354,33008.0,21.0,37.0,29.0,190.5,92.47940423529411,DET,1997,3,1,,,,,,0.21931486306349973,0.01684385603490063,0.08890138754241396,4.296506907416384,17,5,60.34,53.34,50.62,60.34,60.34,1,47.20743935309973,13.132560646900274,52.80105263157895,7.538947368421056
Chaundee Brown Jr.,Wing,0.002,-6.6,0.447,0.313,0.3330000000000001,10.73076923076923,0.009000000000000001,0.084,0.0,104.0,0.051,0.0,104.0,23.0,23.0,23.0,195.58,97.52228,TOT,Undrafted,61,Undrafted,,,,,,0.149,0.011000000000000001,0.157,-8.7,1,0,22.18,23.84,23.61,23.84,23.84,7,32.88851913477537,-9.048519134775372,32.88851913477537,-9.048519134775372
Cheick Diallo,Big,0.1396715462031107,-1.4158737419945104,0.6329972552607502,0.59873879231473,0.1754377859103385,15.768526989935957,0.01208783165599268,0.1849871912168344,0.0274647758462946,437.2,0.05142817932296432,0.0,2186.0,20.0,25.0,22.2,204.724,99.6088032,NOP,2016,33,2,31.0,35.0,3.26,11.24,,0.17002287282708142,0.08827630375114365,0.27917383348581887,-6.3005946935041175,5,0,35.27,41.11,44.05,44.05,44.05,4,35.330078125,8.719921874999997,37.37076923076923,6.67923076923077
Cheikh Samb,Big,-0.05643859649122807,-9.143859649122806,0.350780701754386,0.34082456140350875,0.0,6.821052631578946,0.018728070175438594,0.15829824561403508,0.08012280701754386,57.0,0.012377192982456141,0.0,114.0,23.0,24.0,23.5,215.9,111.13004,DET,2006,51,2,,,,,,0.1741842105263158,0.1302894736842105,0.18412280701754388,2.93859649122807,2,0,14.48,24.61,27.9,27.9,27.9,6,33.73416,-5.834160000000004,34.11230769230769,-6.212307692307689
Cherokee Parks,Big,0.07591098002413192,-2.3519104437592167,0.49987880412923985,0.4729789516020914,0.07477691379541493,9.924493899986592,0.014580774902801984,0.13075264780801715,0.029672342137015688,828.7777777777778,0.05720726638959646,0.0,7459.0,23.0,31.0,27.0,210.82,108.86208,MIN,1995,12,1,,,,,,0.14135152165169595,0.08633007105510122,0.17607105510121998,-5.428810832551281,9,0,30.09,35.51,36.6,36.6,36.6,2,40.05011976047904,-3.4501197604790406,39.268484848484846,-2.6684848484848445
Chimezie Metu,Big,0.04991918691125434,-2.3590976698066437,0.543989588497769,0.46282944967773926,0.2789598413485374,15.538720872583044,0.017601883986118,0.13990728805156172,0.024916212196331184,403.4,0.07997620228061478,0.0,2017.0,21.0,26.0,23.2,206.248,102.0582,SAC,2018,49,2,29.5,36.0,3.33,11.89,5.0,0.19557759048091225,0.04661675756073377,0.2351720376797224,-5.943827466534457,5,0,31.69,35.79,36.16,36.16,36.16,5,35.637464788732395,0.522535211267602,32.0625,4.097499999999997
Chinanu Onuaku,Big,0.04272972972972973,-5.424324324324324,0.6803783783783783,0.6206486486486487,,8.756756756756756,0.019675675675675675,0.10410810810810811,0.011243243243243245,37.0,0.07383783783783784,0.0,74.0,20.0,21.0,20.5,208.28,111.13004,HOU,2016,37,2,27.5,33.5,3.5,11.65,,0.12094594594594596,0.04497297297297298,0.16324324324324324,-34.32432432432432,2,0,27.45,32.62,30.92,30.92,32.62,4,35.330078125,-2.7100781250000026,36.433461538461536,-3.8134615384615387
